mapName,keyword,date,weekday,hour,time,dateTime,price,tradeCount,timeUnit
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,7,07:00,2025-12-24 07:00:00,1249999.0,6,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,8,08:00,2025-12-24 08:00:00,716666.0,7,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,9,09:00,2025-12-24 09:00:00,2321738.0,26,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,10,10:00,2025-12-24 10:00:00,4572727.0,13,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,11,11:00,2025-12-24 11:00:00,5414285.0,14,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,12,12:00,2025-12-24 12:00:00,8315789.0,24,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,13,13:00,2025-12-24 13:00:00,8291666.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,14,14:00,2025-12-24 14:00:00,9343749.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,15,15:00,2025-12-24 15:00:00,9733333.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,16,16:00,2025-12-24 16:00:00,10419999.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,17,17:00,2025-12-24 17:00:00,8333333.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,18,18:00,2025-12-24 18:00:00,7499999.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,19,19:00,2025-12-24 19:00:00,5916666.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,20,20:00,2025-12-24 20:00:00,5352941.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,21,21:00,2025-12-24 21:00:00,5973912.0,25,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,22,22:00,2025-12-24 22:00:00,6375000.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-24,수,23,23:00,2025-12-24 23:00:00,6558823.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,0,00:00,2025-12-25 00:00:00,7539999.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,1,01:00,2025-12-25 01:00:00,6377036.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,2,02:00,2025-12-25 02:00:00,5966666.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,3,03:00,2025-12-25 03:00:00,5999999.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,4,04:00,2025-12-25 04:00:00,2904761.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,5,05:00,2025-12-25 05:00:00,2113769.0,13,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,6,06:00,2025-12-25 06:00:00,4306249.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,7,07:00,2025-12-25 07:00:00,6425000.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,8,08:00,2025-12-25 08:00:00,9399999.0,25,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,9,09:00,2025-12-25 09:00:00,12363636.0,13,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,10,10:00,2025-12-25 10:00:00,13769230.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,11,11:00,2025-12-25 11:00:00,15124999.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,12,12:00,2025-12-25 12:00:00,13799999.0,12,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,13,13:00,2025-12-25 13:00:00,11611110.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,14,14:00,2025-12-25 14:00:00,13468749.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,15,15:00,2025-12-25 15:00:00,15583333.0,21,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,16,16:00,2025-12-25 16:00:00,16531060.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,17,17:00,2025-12-25 17:00:00,12977833.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-25,목,18,18:00,2025-12-25 18:00:00,7909090.0,36,HOURLY
